Prompt No.;Prompt Type;Related-Prompt;Steps;Date;Prompt;Subtask;Hallucinations;Intervention Types
P-322;initial;;S10;May 28, 2026;Das Paper soll weiter überarbeitet werden. Als erstes soll die Grafik des Experimentvorgehens überarbeitet werden. Die Grafik soll inhaltlich identisch bleiben, allerdings soll sie größer und lesbar werden, indem die Anordnung der einzelnen Elemente angepasst wird. Passe die Drawio-Vorlage entsprechend an. - Grafik;Revise the experiment figure;;
P-323;additional question;P-322;S10;May 28, 2026;Die Grafik sieht leider nicht schön aus. Ich hätte es eher etwas Schlangenartiger angeordnet. - Grafik;Arrange the figure in a serpentine pattern;;D
P-324;additional question;P-322;S10;May 28, 2026;Mir gefällt die Anordnung deutlich besser, allerdings überschneiden sich Elemente und Linien, das sollte nicht so sein, passe das noch an. - Grafik;Correct overlaps;;B
P-325;restart;P-322;S10;May 28, 2026;Die Grafik gefällt mir nicht. Erstelle eine neue Grafik, die lediglich den textuellen Inhalt übernimmt, die Anordnung kann du beliebig ändern. - Grafik;Create a new figure;;D
P-326;additional question;P-322;S10;May 28, 2026;Die Grafik ist bereits ganz gut, die Schriftelemente sollten größer sein und die Pfeile überschneiden die Boxelemente, entferne deshalb die große Box mit dem Titel disagreement branchen und behaltet lediglich die kleinen Boxen mit weak, Moderate und Strong bei. - Grafik;Increase font size + remove box;;F
P-327;initial;;S10;May 28, 2026;Als nächstes soll überprüft werden, ob alle Quellen relevant für den Kontext der Arbeit sind und in vollem Umfang genutzt werden oder ob Quellen nur beiläufig verwendet und deshalb entfernt werden können?;Check the relevance of sources;;
P-328;additional question;P-327;S10;May 28, 2026;Du bist ein kritischer wissenschaftlicher Gutachter mit Expertise in Bereich LLMs und Sycophancy im Akademischen Schreiben. Prüfe die Quellenangaben im folgenden Paper kritisch anhand dieser Kriterien: 1. EXISTENZ & VERIFIZIERBARKEIT - Sind Autor, Titel, Jahr, Verlag/Konferenz plausibel? - Gibt es Anzeichen für halluzinierte Referenzen (unübliche DOIs, falsche Autorenkombinationen)? 2. THEMATISCHE PASSUNG - Stützt die Quelle tatsächlich die Aussage, für die sie zitiert wird? - Gibt es Zitierfehler (falsch zusammengefasster Inhalt)? 3. AKTUALITÄT & RELEVANZ - Ist die Quelle für den Forschungsstand angemessen aktuell? - Werden wichtige neuere Arbeiten zum Thema übersehen? 4. QUALITÄT DER QUELLE - Peer-reviewed oder graue Literatur? - Renommierte Venue (Konferenz/Journal) oder unbekannt? - Preprint ohne Review (arXiv) als Hauptbeleg für zentrale Aussagen? 5. ZITATIONSBALANCE - Werden Gegenargumente oder konkurrierende Studien zitiert oder einseitig nur bestätigende Quellen? - Gibt es Selbstzitationen ohne erkennbaren Mehrwert? Ausgabeformat: - Erstelle eine Tabelle: Quelle | Aussage im Paper | Bewertung (✅/⚠️/❌) | Begründung - Fasse am Ende die drei größten Risiken zusammen - Triff keine absoluten Aussagen über Existenz, wenn du nicht sicher bist – kennzeichne Unsicherheiten;Critically evaluate sources;;B
P-329;additional question;P-327;S10;May 28, 2026;Prüfe, ob es zu den preprint Quellen peer-review Versionen gibt?;Check preprint sources for peer review;;G
P-330;additional question;P-327;S10;May 28, 2026;Ich würde gerne die Quelle 6 und 9 entfernen, ist das sinnvoll und was müsste am Text geändert werden?;Remove sources 6 and 9;;C
P-331;additional question;P-327;S10;May 28, 2026;Das ist meine aktuelle bib.Datei entferne alle Quellen die nicht im Paper verwendet werden. - bib-Datei;Clean up the bib file;;E
P-332;additional question;P-327;S10;May 28, 2026;Sollte ich zusätzlich noch Quellen ergänzen oder reichen 13 Quellen aufgrund des begrenzten Platzes aus?;Check the number of sources;;G
P-333;initial;;S10;May 28, 2026;Im nächsten Schritt sollten die Methodischen Grundlagen nochmals überarbeitet werden. Es fehlen die Begründung der CWSS Gewichtung (z.B. mit Literatur oder ähnlichem, sowie die theoretischer Herleitung der Aufgaben Kategorien A/B/C und die Begründung der konkreten Zahlen beim critical-review robustness criterium. Wie kann ich das bestmöglich umsetzen ohne den Text in die Länge zu ziehen?;Supplement methodological foundations;;
P-334;additional question;P-333;S10;May 28, 2026;Wie sollte ich A/B/C/D herleiten mit Quellenverweis, bitte Quellenverweise im Latexstil?;Derive A/B/C/D from sources;;E
P-335;additional question;P-333;S10;May 28, 2026;Was sind die Quellen Nummer 7,8, 13?;Clarify source numbers;;G
P-336;initial;;S10;May 28, 2026;"Du bist ein erfahrener wissenschaftlicher Lektor für empirische Forschungsartikel. Der Diskussionsteil dieses Papers fasst die Ergebnisse mehrfach zusammen, ohne interpretative Tiefe zu entwickeln. Überarbeite den Diskussionsteil so, dass er: - Ergebnisse nicht wiederholt, sondern erklärt und interpretiert (""Was bedeutet das? Warum ist das so?"") - Bezug zur zitierten Literatur herstellt (Was bestätigen/widersprechen unsere Befunde?) - Mechanismen oder Erklärungshypothesen vorschlägt - Praktische Implikationen konkret benennt - Den akademischen Stil und die Fachterminologie des Originals beibehält";Revise the discussion;;
P-337;additional question;P-336;S10;May 28, 2026;Sollte in der Diskussion der Bezug zu den Beginn aufgestellten Hypothesen bestehen oder sollte die Ergebnisse eher allgemein bewertet werden?;Include reference to hypotheses in the discussion;;G
P-338;additional question;P-336;S10;May 28, 2026;Wie baue ich den Hypothesen und RQ1 Bezug in den vorgeschlagenen, überarbeiteten Diskussionsteil ein?;Incorporate H1/H2/H3 + RQ1 into the discussion;;E
P-339;initial;;S10;May 28, 2026;Eine weitere Auffälligkeit besteht darin, dass das Fazit das Abstract reproduziert ohne Mehrwert, wie kann ich das vermeiden und die Conclusion besser formulieren?;Improve the conclusion;;
P-340;additional question;P-339;S10;May 28, 2026;Der Abschnitt Threats to Validity and Limitations nimmt etwas mehr als eine halbe Seite ein und wirkt für mich, für ein 10 seitiges Paper zu lange. Wie könnte ich diesen Abschnitt prägnanter und kürzer formulieren?;Shorten “Threats to Validity”;;F
P-341;initial;;S10;May 28, 2026;Abschließend soll der Abschnitt Results verbessert werden. Um das Paper ansprechender zu machen soll eine weitere Grafik genutzt werden. Wie könnte ich eine Ergebnisstabelle grafisch statt tabellarisch darstellen und benötige ich wirklich alle 4 Tabelle oder könnte das auf 2 reduziert werden und 1 Ergebnisgrafik?;Present results graphically;;
P-342;additional question;P-341;S10;May 28, 2026;Wie sollte der result Abschnitt final aussehen?;Finalize the “Results” section;;C
P-343;additional question;P-341;S10;May 28, 2026;Überarbeite die Grafik folgendermaßen: die Legende nicht in der Grafik platzieren.;Legend outside the graph;;F
P-344;additional question;P-341;S10;May 28, 2026;Die Achsenbeschriftungen sollen Fettgedruckt sein und ich würde die Beschreibung/ Caption gerne kürzer fassen. Sind die Werte der CWSS in Prozent oder sind das normale Zahlen?;Make axes bold + shorten caption;;F
P-345;additional question;P-341;S10;May 28, 2026;Wie kann ich besser rüberbringen das CWSS ein Score zwischen 0 und 1 ist. Oder ist das aus dem Text heraus verständlich? Außerdem wird die 0,05 als 5*10^-2 angezeigt, wie kann ich das ändern?;Clarify CWSS score presentation;;G
P-346;additional question;P-341;S10;May 28, 2026;Würdest du die Grafik weiter überarbeiten oder eine andere Darstellungsweise wählen oder ist diese ausreichend? - Grafik;Final evaluation of the graph;;G
P-347;additional question;P-341;S10;May 28, 2026;Wie kann ich in der Grafik zusätzlich unterschiedliche Linienstile verwenden?;Add line styles;;F
P-348;initial;;S10;May 28, 2026;"Du bist ein erfahrener wissenschaftlicher Gutachter für Konferenzartikel mit Expertise in empirischer LLM-Forschung. KONTEXT: - Maximale Seitenzahl: 10 Seiten (CEUR-WS-Format, 1-spaltig) - Das Paper überschreitet oder riskiert diese Grenze - Ziel: Finale Qualitätsbewertung + konkrete Kürzungsempfehlungen AUFGABE 1 – FINALE BEWERTUNG Bewerte das Paper nach diesen Kriterien (je 1–5 Punkte): - Relevanz & Originalität der Forschungsfrage - Methodische Qualität & Nachvollziehbarkeit - Qualität der Ergebnisdarstellung - Tiefe der Diskussion - Klarheit & Präzision der Sprache - Kohärenz von Abstract, Methode, Ergebnissen, Fazit Gib nach jeder Bewertung eine 1–2-seitige Begründung und konkrete Verbesserungsvorschläge. AUFGABE 2 – KÜRZUNGSANALYSE Identifiziere Stellen, die ohne Inhaltsverlust gekürzt werden können. Gliedere nach Priorität: HOHE PRIORITÄT (kürzen zuerst): - Wiederholungen zwischen Abstract, Einleitung und Fazit - Ergebnisbeschreibungen, die bereits in Tabellen stehen - Redundante Einleitungssätze in Abschnitten MITTLERE PRIORITÄT (kürzen wenn nötig): - Methodenbeschreibungen, die Selbstverständliches erklären - Literaturüberblick-Passagen mit geringem Bezug zur eigenen Studie - Zu ausführliche Einschränkungsdiskussion NIEDRIGE PRIORITÄT (nur im Notfall): - Tabellen (ggf. in Appendix verschieben) - Beispiele und Illustrationen AUSGABEFORMAT: 1. Bewertungstabelle mit Punkten und Begründung 2. Gesamturteil (1 Absatz) 3. Kürzungsliste mit: - Abschnitt | konkrete Textstelle | Kürzungsvorschlag | geschätzte Zeilenersparnis 4. Priorisierte Top-3-Empfehlungen EINSCHRÄNKUNGEN: - Schlage keine Kürzungen vor, die zentrale Argumente oder Ergebnisse entfernen - Kennzeichne Unsicherheiten (""möglicherweise entbehrlich, wenn..."") - Erfinde keine Inhalte - Paper";Final reviewer evaluation + reduction analysis;;
P-349;additional question;P-348;S10;May 28, 2026;Mache mir konkrete Vorschläge, wie ich die als hoch eingestuften Kürzungen vornehmen kann. Außerdem sollen folgende Verbesserungen vorgenommen werden: - Entfernung vom wiederkehrenden Formulierungen - Verbesserungen der Qualität der Ergebnisdarstellung;Specific reductions + improvements;;F
P-350;additional question;P-348;S10;May 28, 2026;Abschließend ist es deine Aufgabe eine finale Bewertung des Papers vorzunehmen. AUFGABE 1 – FINALE BEWERTUNG Bewerte das Paper nach diesen Kriterien (je 1–5 Punkte): - Relevanz & Originalität der Forschungsfrage - Methodische Qualität & Nachvollziehbarkeit - Qualität der Ergebnisdarstellung - Tiefe der Diskussion - Klarheit & Präzision der Sprache - Kohärenz von Abstract, Methode, Ergebnissen, Fazit AUSGABEFORMAT: 1. Bewertungstabelle mit Punkten und Begründung 2. Gesamturteil (1 Absatz) - Paper;Final paper evaluation;;G
P-351;additional question;P-348;S10;May 28, 2026;Sollte ich noch zwingend Änderungen vornehmen oder kann das Paper als erste Version an einen Reviewer gegeben werden?;Check readiness for submission;;G
